file,total_cost
02589.csv,149.53676124256071
03001.csv,149.0678514294324
02580.csv,148.1915221427536
00432.csv,147.17266051417064
04772.csv,147.04180700743717
01954.csv,144.78529215626995
01550.csv,144.41743050444387
02618.csv,143.83365919719685
00739.csv,143.3425951403903
01483.csv,143.0098428899955
03385.csv,141.93872570176427
00660.csv,140.68286730527984
03079.csv,140.52423250010372
00367.csv,140.03945865241712
02898.csv,139.46219219697946
04686.csv,139.44059760958976
04877.csv,137.31298656805762
02879.csv,137.2466484971464
01202.csv,136.59883256270618
00699.csv,136.22551528711963
